date,open,high,low,close,volume,sma10,sma5,bbands,roc,macd,cci,atr,ema20,mtm6,mtm12
2020-01-30,32.65,33.45,32.58,33.45,41789800.0,33.981,33.47,35.727,-12.5603,-0.7633,-114.3121,0.847,34.6277,0.16,3.2033
2020-01-29,33.69,33.79,32.92,32.97,20071400.0,34.205,33.71,35.801,-10.16,-0.6759,-114.4472,0.8458,34.8359,1.12,3.3567
2020-01-28,33.77,33.97,33.3,33.49,17185400.0,34.328,33.774,35.8503,-8.2337,-0.6604,-99.3625,0.8445,34.9566,1.03,2.9833
2020-01-27,33.74,34.09,33.41,33.5,14387100.0,34.453,33.98,35.8967,-7.5616,-0.6392,-101.8419,0.8537,35.0815,1.04,2.5733
2020-01-23,33.5,34.81,33.4,34.5,33077600.0,34.587,34.212,35.942,-8.5449,-0.5998,-80.699,0.8413,35.2227,0.16,2.1733
2020-01-22,33.85,34.07,33.5,33.7,17443500.0,34.816,34.492,35.9768,-6.3883,-0.5163,-116.5794,0.8113,35.404,-0.35,3.15
2020-01-21,34.01,34.48,33.44,33.5,26878100.0,35.076,34.7,35.9922,-5.3174,-0.4378,-130.6776,0.824,35.5676,0.34,3.8767
2020-01-20,34.8,35.0,34.16,34.23,18322200.0,35.382,34.882,35.9963,-2.6573,-0.3476,-109.0877,0.8127,35.7315,1.11,4.8133
2020-01-17,34.9,35.3,34.73,34.94,19722900.0,35.657,34.926,35.9933,-4.2261,-0.3079,-85.5879,0.8112,35.8296,0.95,4.3733
2020-01-16,34.9,35.07,34.42,34.7,22857500.0,35.917,34.962,35.9925,-2.514,-0.2629,-114.0464,0.8223,35.9274,1.09,3.8533
2020-01-15,34.89,34.94,34.4,34.63,32757500.0,36.155,35.14,35.9853,-2.9485,-0.2016,-135.8993,0.8314,36.0356,1.87,4.0167
2020-01-14,34.92,35.06,34.63,35.06,18433300.0,36.4,35.452,35.9785,-4.3288,-0.1194,-127.2593,0.8404,36.1562,1.74,3.9733
2020-01-13,35.02,35.4,34.74,35.06,29200700.0,36.658,35.882,35.96,-4.186,-0.0158,-127.3679,0.862,36.2863,2.02,4.48
2020-01-10,35.08,35.45,34.57,34.6,25521600.0,36.836,36.388,35.9363,-2.5556,0.1065,-165.6213,0.8653,36.4196,2.31,4.4933
2020-01-09,35.79,35.93,34.52,34.91,48423800.0,36.978,36.872,35.9033,-1.9452,0.2549,-167.9444,0.8645,36.5606,3.27,5.03
2020-01-08,36.45,36.81,35.62,35.62,25980900.0,37.062,37.17,35.8567,0.22,0.3683,-69.7526,0.8358,36.6417,3.45,5.61
2020-01-07,37.07,37.24,36.21,36.21,20000900.0,37.033,37.348,35.8012,4.7471,0.4404,-3.0071,0.8172,36.6619,4.35,7.8167
2020-01-06,37.55,37.58,36.91,37.07,22294700.0,36.918,37.434,35.7382,5.5072,0.463,83.5538,0.806,36.6189,4.31,7.7033
2020-01-03,37.5,38.24,37.45,37.63,24891400.0,36.738,37.284,35.6662,7.3883,0.4363,170.2331,0.8105,36.5209,4.5,8.3
2020-01-02,37.28,38.0,36.99,37.81,13418000.0,36.632,37.084,35.5952,7.5281,0.4008,171.7487,0.8116,36.4179,3.46,7.82
2019-12-30,37.34,37.59,37.03,37.17,4053000.0,36.484,36.954,35.538,8.389,0.3722,144.5225,0.8011,36.3271,2.94,8.72
