date,open,high,low,close,volume,sma10,sma5,bbands,roc,macd,cci,atr,ema20,mtm6,mtm12
2020-01-30,28.28,28.95,28.18,28.83,37026800.0,29.198,28.686,29.9383,-7.4304,-0.3954,-126.4597,0.6605,29.5222,1.41,8.18
2020-01-29,29.0,29.08,28.67,28.85,42297500.0,29.36,28.976,29.957,-5.5067,-0.3302,-119.6379,0.6547,29.653,1.9,8.74
2020-01-28,28.43,29.14,28.42,28.8,47259100.0,29.483,29.136,29.9607,-7.0611,-0.3155,-146.6962,0.6676,29.7217,2.12,7.62
2020-01-27,28.63,28.64,27.67,28.03,66105300.0,29.675,29.39,29.9735,-5.1673,-0.2341,-259.0195,0.6443,29.8577,1.98,7.3
2020-01-23,29.09,29.76,28.82,29.65,53752100.0,29.851,29.608,29.9822,-4.9346,-0.1472,-128.7102,0.574,29.9869,2.7,7.94
2020-01-22,29.73,29.81,29.27,29.29,32491500.0,29.989,29.71,29.9728,-2.3645,-0.0809,-144.9606,0.5547,30.0814,2.83,8.33
2020-01-21,29.8,29.94,29.55,29.62,28577400.0,30.085,29.744,29.9407,0.1681,-0.0604,-123.721,0.5555,30.1183,3.0,9.81
2020-01-20,29.7,30.1,29.65,30.0,31241400.0,30.187,29.83,29.9065,0.2024,-0.0403,-94.865,0.5611,30.1519,2.18,10.11
2020-01-17,29.72,29.85,29.54,29.85,34908000.0,30.26,29.96,29.8763,-1.0982,-0.004,-128.7807,0.5669,30.1994,2.17,10.1
2020-01-16,29.6,29.7,29.33,29.52,28997400.0,30.376,30.094,29.8465,-4.1761,0.0404,-178.5316,0.5794,30.2499,1.92,9.65
2020-01-15,29.9,29.93,29.54,29.55,34405700.0,30.467,30.268,29.8123,-2.4151,0.1087,-179.1487,0.5904,30.3183,2.45,10.3
2020-01-14,30.23,30.27,29.77,30.0,39796500.0,30.532,30.426,29.7692,-0.9177,0.1637,-107.9893,0.5972,30.3623,2.51,10.28
2020-01-13,30.35,30.43,30.21,30.33,30676800.0,30.578,30.544,29.716,0.8306,0.198,-26.625,0.5992,30.3763,2.63,10.55
2020-01-10,30.39,30.44,30.13,30.27,25397500.0,30.602,30.56,29.659,0.297,0.2267,-38.5751,0.6192,30.379,2.7,10.82
2020-01-09,30.47,30.62,30.25,30.4,36102700.0,30.582,30.658,29.5957,1.0614,0.2558,5.7383,0.6354,30.3779,3.11,11.17
2020-01-08,30.69,30.77,30.24,30.5,48215600.0,30.595,30.666,29.527,3.5425,0.2812,31.1451,0.6494,30.3682,3.57,11.52
2020-01-07,30.82,30.88,30.47,30.69,32822000.0,30.571,30.638,29.4517,5.3315,0.2872,87.7331,0.6557,30.3343,4.87,12.98
2020-01-06,30.43,30.94,29.95,30.81,81844000.0,30.464,30.612,29.3775,4.3195,0.2773,64.0014,0.6686,30.2832,4.08,12.18
2020-01-03,30.88,31.24,30.45,30.45,71595600.0,30.385,30.644,29.3178,5.034,0.3004,94.9355,0.6517,30.2677,4.41,13.09
2020-01-02,30.51,30.69,30.31,30.6,26492100.0,30.302,30.506,29.249,3.4588,0.2797,63.2955,0.6444,30.2033,1.81,12.56
2019-12-30,30.55,30.71,30.2,30.21,12785500.0,30.34,30.524,29.1942,4.1951,0.2869,42.1057,0.6531,30.171,1.0,12.56
2019-12-27,30.69,30.92,30.29,30.4,18205400.0,30.349,30.504,29.145,4.5656,0.2878,69.2308,0.6606,30.1311,1.66,13.07
2019-12-26,30.59,30.93,30.5,30.91,24810500.0,30.331,30.316,29.0928,3.2748,0.2705,108.044,0.6622,30.0722,1.53,13.1
2019-12-23,30.19,30.5,30.03,30.5,21970200.0,30.282,30.126,29.0422,0.9024,0.2547,58.6312,0.6744,30.0177,1.65,11.85
2019-12-20,30.6,30.6,30.02,30.26,93064900.0,30.293,30.098,28.9957,2.8226,0.2715,57.384,0.6852,29.9996,2.83,12.63
2019-12-19,30.45,30.75,30.42,30.61,39696000.0,30.248,30.156,28.9362,5.2541,0.2473,105.6366,0.6902,29.9364,1.92,11.85
2019-12-18,29.75,30.57,29.7,30.54,64201600.0,30.167,30.194,28.8857,1.7094,0.2281,69.9488,0.7092,29.8823,1.61,12.37
2019-12-17,29.64,29.9,29.43,29.85,40679900.0,30.118,30.346,28.8398,-0.202,0.2715,-3.7701,0.7007,29.8963,1.24,11.9
2019-12-16,30.05,30.17,29.41,29.41,68871000.0,30.071,30.438,28.8017,0.5689,0.3342,-9.9173,0.7118,29.9232,1.6,13.06
2019-12-13,30.89,30.97,29.87,29.98,105004400.0,30.006,30.488,28.7647,3.1386,0.3676,77.9295,0.7093,29.9099,3.64,14.04
2019-12-12,30.64,31.05,30.48,30.97,47797800.0,29.866,30.34,28.706,1.9973,0.3194,168.3798,0.6887,29.8067,2.43,13.92
2019-12-11,30.51,30.71,30.26,30.4,38458300.0,29.734,30.14,28.6563,2.2111,0.2786,126.3609,0.6907,29.719,2.77,14.41
2019-12-10,30.1,30.44,29.9,30.44,27532700.0,29.618,29.89,28.6165,-1.1494,0.2358,99.3642,0.7034,29.6358,3.27,14.2
2019-12-09,30.3,30.48,30.12,30.21,34694100.0,29.57,29.704,28.5668,1.0,0.2194,101.3311,0.712,29.5869,2.36,15.1
2019-12-06,30.15,30.59,30.13,30.35,44348600.0,29.532,29.524,28.5095,0.3328,0.175,110.3234,0.7305,29.5118,1.31,14.74
2019-12-05,29.64,30.39,29.52,30.05,50447000.0,29.493,29.392,28.4628,-2.5321,0.131,62.4337,0.7406,29.4446,0.44,13.55
2019-12-04,29.26,29.66,29.11,29.66,44960000.0,29.422,29.328,28.4197,-5.2768,0.1249,-27.4468,0.7338,29.4241,0.41,13.42
2019-12-03,29.17,29.19,28.73,28.98,29194000.0,29.421,29.346,28.3778,-4.642,0.1539,-114.6463,0.7366,29.4414,0.82,14.91
2019-12-02,29.4,29.5,29.07,29.07,31353600.0,29.474,29.436,28.3317,-1.5405,0.1979,-86.3846,0.7511,29.4699,1.24,14.63
2019-11-29,29.49,29.56,29.01,29.15,37699000.0,29.522,29.54,28.285,-0.9405,0.2278,-92.2777,0.768,29.4773,1.34,14.46
2019-11-28,29.32,29.54,28.81,29.53,46602800.0,29.568,29.594,28.2295,-0.2721,0.2534,-95.6219,0.7795,29.4759,1.73,13.99
2019-11-27,29.35,29.65,29.14,29.33,33072500.0,29.64,29.516,28.1593,0.4449,0.2998,-89.8696,0.7821,29.4924,1.56,13.93
2019-11-26,29.62,29.73,29.1,29.19,54147800.0,29.69,29.496,28.0933,1.4384,0.3515,-98.1553,0.7964,29.5073,2.6,14.14
2019-11-25,29.92,30.1,29.63,29.73,29868400.0,29.773,29.512,28.0252,2.6415,0.385,-7.2192,0.8052,29.4955,3.43,14.42
2019-11-22,29.76,30.34,29.56,29.98,34786000.0,29.781,29.504,27.9415,4.3112,0.3915,25.395,0.8228,29.4508,2.96,13.95
2019-11-21,28.93,29.85,28.88,29.85,53033100.0,29.81,29.542,27.8488,4.0648,0.4105,-30.6757,0.8251,29.4183,1.79,12.93
2019-11-19,29.25,29.49,28.73,28.78,33740200.0,29.958,29.764,27.7695,5.4054,0.5132,-86.4996,0.8122,29.4696,1.53,12.78
2019-11-18,29.7,29.85,29.07,29.08,54468100.0,30.122,29.884,27.6917,6.4898,0.6043,-31.9311,0.815,29.4928,2.86,12.34
2019-11-14,29.88,30.1,29.27,29.3,44595200.0,30.211,30.034,27.6097,6.9817,0.6659,1.8174,0.8168,29.471,3.12,12.59
2019-11-13,29.95,30.13,29.61,29.9,41827700.0,30.209,30.058,27.5367,8.7114,0.7166,36.5285,0.8161,29.4279,2.95,10.39
2019-11-12,30.04,30.61,30.01,30.02,41655600.0,30.191,30.078,27.4433,9.9963,0.7637,66.5598,0.8317,29.3729,2.49,11.65
2019-11-11,29.85,30.45,29.79,30.45,30570500.0,30.127,30.152,27.3412,10.392,0.8036,72.6088,0.8439,29.3027,2.67,11.85
2019-11-08,30.45,30.79,29.93,30.02,61567700.0,30.064,30.36,27.2487,13.0709,0.8621,79.1104,0.8536,29.2451,2.95,11.25
2019-11-07,30.0,31.07,29.54,30.9,96329000.0,29.939,30.388,27.1532,12.8244,0.8632,102.8703,0.8474,29.1183,3.14,9.35
2019-11-06,30.05,30.7,28.1,29.71,154003100.0,29.854,30.36,27.0697,14.0417,0.8979,49.6373,0.8115,29.0255,3.46,10.0
2019-11-05,30.41,30.6,29.58,29.65,92980900.0,29.702,30.304,26.9898,16.2018,0.9239,82.1789,0.7174,28.9176,3.55,6.18
2019-11-04,30.89,31.22,29.96,30.36,81023400.0,29.441,30.102,26.9057,17.1407,0.9071,123.7904,0.7015,28.7605,4.72,6.08
2019-11-01,30.59,31.23,29.84,30.43,101210200.0,29.127,29.768,26.8228,13.9292,0.8236,138.5169,0.6721,28.5364,4.57,4.49
2019-10-31,29.86,30.46,29.64,30.39,67070400.0,28.857,29.49,26.7513,11.6262,0.7355,139.7083,0.6343,28.3202,4.54,4.85
2019-10-30,29.77,30.09,29.47,30.08,63001200.0,28.664,29.348,26.6887,9.3681,0.6868,146.296,0.6245,28.1581,4.6,2.42
2019-10-29,29.4,29.94,29.26,29.82,49994200.0,28.442,29.1,26.6165,6.5217,0.6237,155.0225,0.6247,27.9885,4.6,2.53
2019-10-28,29.22,29.66,29.12,29.6,37461800.0,28.233,28.78,26.5582,6.0232,0.5718,165.9535,0.6218,27.8399,3.62,2.87
2019-10-25,29.2,29.55,29.01,29.25,74476900.0,28.015,28.486,26.5012,5.9891,0.5156,177.838,0.6261,27.6946,3.4,3.35
2019-10-24,29.15,29.25,28.23,28.32,60529900.0,27.788,28.224,26.454,6.3869,0.4384,134.1818,0.5943,27.5361,3.24,3.32
2019-10-23,28.53,29.08,28.45,28.95,45930600.0,27.532,27.98,26.4065,5.5494,0.3386,178.0258,0.5719,27.3662,2.69,3.39
2019-10-22,27.8,28.68,27.77,28.57,64228700.0,27.314,27.784,26.3708,1.3858,0.2694,148.8815,0.5689,27.2437,2.3,4.5
2019-10-21,27.75,27.81,27.6,27.77,43337700.0,27.151,27.686,26.3467,2.7778,0.2514,81.8302,0.5509,27.1852,1.88,4.69
2019-10-18,27.89,27.99,27.6,27.6,36070900.0,27.013,27.544,26.3212,1.9744,0.23,88.6405,0.5689,27.1257,2.08,5.32
2019-10-17,27.93,28.0,27.59,27.66,31405400.0,26.909,27.352,26.303,0.3593,0.185,100.8683,0.5783,27.0453,2.68,5.48
2019-10-16,27.55,27.97,27.36,27.93,31381300.0,26.791,27.084,26.2953,0.6576,0.1208,106.4114,0.5871,26.9522,2.26,5.01
2019-10-15,27.31,27.88,27.31,27.6,30455300.0,26.758,26.844,26.296,-1.2654,0.0758,87.7453,0.5859,26.8892,1.91,4.64
2019-10-14,27.04,27.33,26.94,27.31,20809900.0,26.787,26.616,26.2993,-3.8407,0.0417,19.7873,0.5868,26.8449,1.71,4.31
2019-10-11,26.93,27.36,26.93,27.26,37055300.0,26.839,26.482,26.309,-0.7006,0.025,10.4512,0.5971,26.8244,1.67,4.09
2019-10-10,26.59,26.88,26.54,26.74,31056500.0,26.901,26.466,26.3185,-1.0052,0.0146,-60.8108,0.5959,26.8133,1.28,4.59
2019-10-09,26.35,26.71,26.15,26.52,35141400.0,26.982,26.498,26.338,-3.6563,0.0358,-106.8723,0.6084,26.8368,0.91,4.34
2019-10-08,26.17,26.44,25.95,26.02,30418900.0,27.05,26.672,26.3653,-3.2532,0.0866,-178.2545,0.6041,26.888,1.42,3.57
2019-10-07,26.37,26.6,26.1,26.17,26252500.0,27.175,26.958,26.4005,-1.4206,0.1686,-182.7348,0.6101,26.9636,1.57,4.28
2019-10-04,26.85,26.92,26.27,26.51,47951600.0,27.238,27.196,26.4375,1.7045,0.2505,-145.8959,0.6158,27.0261,2.02,4.79
2019-10-03,26.75,26.81,26.28,26.74,46076300.0,27.288,27.336,26.4657,0.5639,0.3024,-134.9163,0.6141,27.0447,1.93,4.68
2019-10-02,27.22,27.26,26.61,26.72,51261200.0,27.396,27.466,26.4898,4.052,0.3745,-76.5111,0.6185,27.0757,2.07,5.87
2019-10-01,27.6,27.73,27.36,27.51,32423200.0,27.411,27.428,26.5028,9.9164,0.4133,68.7602,0.6037,27.0605,2.34,6.9
2019-09-30,27.56,27.64,27.4,27.55,23143400.0,27.417,27.392,26.5012,8.5467,0.418,72.8624,0.616,27.0037,2.26,6.51
2019-09-27,27.55,27.95,27.52,27.66,31886800.0,27.473,27.28,26.4963,7.9123,0.422,100.3572,0.6347,26.9451,2.15,5.91
2019-09-26,27.4,27.7,27.23,27.7,33705900.0,27.43,27.24,26.4935,10.0402,0.422,81.0779,0.6455,26.8815,2.55,5.61
2019-09-25,27.03,27.35,26.78,27.34,29038400.0,27.376,27.326,26.4875,11.6942,0.4311,42.8416,0.6547,26.8269,2.18,5.68
2019-09-24,27.42,27.54,27.15,27.27,36643400.0,27.408,27.394,26.4913,13.4464,0.4742,62.0611,0.6592,26.8055,3.46,6.51
2019-09-23,27.0,27.49,26.92,27.48,32643100.0,27.371,27.442,26.4983,9.8454,0.4826,64.233,0.6733,26.7408,4.45,5.57
2019-09-20,27.35,27.43,27.0,27.0,51946900.0,27.346,27.666,26.5058,10.3713,0.529,57.6031,0.6788,26.7135,5.24,6.37
2019-09-19,27.83,27.85,27.22,27.29,42155100.0,27.251,27.62,26.5073,9.1373,0.5449,82.4794,0.6919,26.6465,6.31,6.68
2019-09-18,27.37,27.49,27.22,27.22,40567100.0,27.128,27.426,26.5027,12.4025,0.5084,81.0009,0.6951,26.5219,6.78,7.06
2019-09-17,27.66,27.75,27.16,27.69,67414800.0,27.007,27.422,26.5155,15.6838,0.5013,104.3787,0.707,26.4327,6.26,6.55
2019-09-16,28.12,28.24,27.69,28.06,167634600.0,26.752,27.3,26.5265,15.7202,0.4554,146.5246,0.6968,26.3035,5.81,6.76
2019-09-13,27.12,27.2,26.82,26.88,24709400.0,26.479,27.026,26.5237,9.7087,0.3434,97.5217,0.6619,26.1123,4.62,5.86
2019-09-12,26.86,27.14,26.64,27.06,41028300.0,26.32,26.882,26.5275,7.483,0.2972,110.6952,0.6767,26.0062,4.08,5.6
