date,open,high,low,close,volume,sma10,sma5,bbands,roc,macd,cci,atr,ema20,mtm6,mtm12
2020-01-30,49.97,51.15,49.8,51.0,18965000.0,54.221,51.992,51.8932,-6.8593,-0.1947,-150.4797,1.3075,53.6003,1.67,-1.44
2020-01-29,51.7,51.89,50.46,50.75,23323000.0,54.754,53.318,51.8672,-4.2415,0.1304,-153.1776,1.3053,53.9825,2.7,-0.8
2020-01-28,51.2,52.09,51.08,51.2,23046400.0,55.114,54.338,51.8163,-6.5864,0.3674,-152.4777,1.2987,54.2228,1.38,-2.1
2020-01-27,51.66,51.82,50.48,50.51,38779700.0,55.358,55.498,51.7588,-5.9016,0.7155,-208.7215,1.2839,54.5409,2.31,-1.73
2020-01-23,55.43,55.73,54.71,55.5,23028900.0,55.567,56.416,51.6888,1.205,1.1025,33.8423,1.0872,54.8442,5.83,3.33
2020-01-22,56.6,56.85,56.06,56.3,17269400.0,55.399,56.45,51.5583,5.7944,1.1965,111.7476,1.0608,54.7825,7.15,4.29
2020-01-21,56.8,57.01,55.74,56.03,25436800.0,55.159,56.19,51.403,6.6066,1.1801,118.0053,1.0735,54.5912,7.52,4.71
2020-01-20,57.0,57.36,56.53,57.36,16746300.0,54.829,55.89,51.23,7.0423,1.1215,194.4888,1.0447,54.3587,6.78,3.6
2020-01-17,56.25,57.09,56.1,57.0,36524100.0,54.509,55.218,51.0615,3.211,1.0101,207.9148,1.056,54.0807,5.31,2.05
2020-01-16,55.6,55.95,55.1,55.17,13149100.0,54.252,54.718,50.9072,4.3152,0.9295,130.2937,1.0105,53.8523,5.12,1.9
2020-01-15,55.3,56.08,55.11,55.46,21425300.0,54.09,54.348,50.7703,6.142,0.8794,173.2173,1.019,53.6684,5.07,1.82
2020-01-14,55.3,56.35,55.0,55.64,27817000.0,53.925,54.128,50.6467,7.6294,0.8331,220.2237,1.0215,53.4966,3.75,2.83
