date,open,high,low,close,volume,sma10,sma5,bbands,roc,macd,cci,atr,ema20,mtm6,mtm12
2020-01-30 13:55:00,32.74,32.8,32.73,32.79,107800.0,32.77,32.75,32.7789,0.0611,-0.0037,-3.0795,0.0744,32.7632,-0.65,-1.93
2020-01-30 13:50:00,32.72,32.77,32.7,32.74,115500.0,32.7791,32.76,32.7769,-0.0324,-0.0019,-108.5074,0.0747,32.7656,-0.62,-1.9514
2020-01-30 13:45:00,32.75,32.8,32.73,32.74,139400.0,32.7871,32.78,32.7749,-0.0305,0.0025,-53.5213,0.0749,32.7704,-0.67,-1.9609
2020-01-30 13:40:00,32.77,32.81,32.75,32.75,102200.0,32.7901,32.784,32.7734,0.0611,0.0051,-11.2173,0.0752,32.7725,-0.68,-1.81
2020-01-30 13:35:00,32.77,32.78,32.75,32.76,96300.0,32.7851,32.782,32.7717,-0.0915,0.0063,-27.2585,0.076,32.7728,-0.7,-1.73
2020-01-30 13:30:00,32.79,32.83,32.75,32.77,151400.0,32.7821,32.79,32.7709,0.1527,0.0077,30.7554,0.0784,32.7731,-0.69,-1.6106
2020-01-30 13:25:00,32.82,32.84,32.78,32.79,189000.0,32.7761,32.7983,32.7701,0.3363,0.0073,91.7765,0.0783,32.7713,-0.73,-1.58
2020-01-30 13:20:00,32.77,32.84,32.77,32.82,382100.0,32.7681,32.7943,32.7714,0.0916,0.0037,121.5636,0.0793,32.7662,-0.77,-1.58
2020-01-30 13:15:00,32.76,32.82,32.74,32.77,345900.0,32.7683,32.7963,32.7728,0.1222,0.0041,34.218,0.0798,32.7658,-0.8,-1.64
2020-01-30 13:10:00,32.81,32.85,32.75,32.75,222600.0,32.7663,32.7883,32.7729,0.2138,0.0055,58.7556,0.0797,32.7664,-0.68,-1.59
2020-01-30 13:05:00,32.8314,32.8716,32.7915,32.8114,127683.0,32.7604,32.7743,32.772,0.218,0.0022,190.3885,0.0787,32.7618,-0.6186,-1.5386
2020-01-30 13:00:00,32.8,32.88,32.79,32.85,397965.0,32.7492,32.754,32.7694,0.0592,-0.0042,293.2014,0.0786,32.7545,-0.66,-1.6
2020-01-30 12:55:00,32.78,32.82,32.76,32.78,130500.0,32.7423,32.742,32.7669,-0.0305,-0.0091,143.2553,0.0775,32.7497,-0.63,-1.6
2020-01-30 12:50:00,32.72,32.82,32.72,32.78,172400.0,32.7403,32.7402,32.7729,-0.2466,-0.0133,87.7352,0.0784,32.7465,-0.74,-1.65
2020-01-30 12:45:00,32.74,32.76,32.71,32.72,93100.0,32.7433,32.7442,32.7801,-0.0626,-0.0122,-101.9051,0.0773,32.7493,-0.7512,-1.65
2020-01-30 12:40:00,32.73,32.78,32.71,32.75,147800.0,32.7493,32.7465,32.7864,0.0917,-0.0128,-47.9331,0.0787,32.7503,-0.79,-1.6806
2020-01-30 12:35:00,32.74,32.75,32.7,32.72,209200.0,32.7503,32.7445,32.7933,0.0611,-0.0123,-130.7105,0.0791,32.7525,-0.8007,-1.68
2020-01-30 12:30:00,32.7712,32.8205,32.7304,32.7312,158739.0,32.7473,32.7426,32.8001,0.2484,-0.0125,3.5459,0.0807,32.7538,-0.9088,-1.6388
2020-01-30 12:25:00,32.74,32.8,32.73,32.78,233400.0,32.7442,32.7404,32.8066,0.149,-0.0157,39.9498,0.0802,32.7519,-0.94,-1.57
2020-01-30 12:20:00,32.7512,32.8207,32.7507,32.7512,92361.0,32.7422,32.7424,32.8128,0.1566,-0.0164,59.8207,0.0807,32.7532,-1.0388,-1.5288
2020-01-30 12:15:00,32.72,32.78,32.72,32.75,108500.0,32.7411,32.7521,32.8192,-0.0305,-0.0183,-3.4882,0.0812,32.7534,-1.08,-1.54
2020-01-30 12:10:00,32.7306,32.8058,32.7257,32.7306,216008.0,32.7451,32.7561,32.8264,-0.0611,-0.0172,11.1811,0.0824,32.7569,-1.05,-1.4994
2020-01-30 12:05:00,32.76,32.78,32.73,32.74,173700.0,32.7501,32.752,32.8339,0.0917,-0.0166,3.2665,0.0825,32.7597,-1.07,-1.44
2020-01-30 12:00:00,32.75,32.8,32.7,32.75,1442866.0,32.7531,32.748,32.8416,-0.061,-0.0186,4.1723,0.0842,32.7597,-1.06,-1.46
2020-01-30 11:55:00,32.8,32.81,32.74,32.75,212200.0,32.7582,32.742,32.8491,-0.1233,-0.0199,49.6047,0.0834,32.7607,-1.05,-1.41
2020-01-30 11:50:00,32.74,32.81,32.73,32.79,227400.0,32.7542,32.73,32.8559,-0.4561,-0.0263,61.8872,0.0841,32.7565,-1.1014,-1.47
2020-01-30 11:45:00,32.71,32.76,32.71,32.74,128300.0,32.7502,32.734,32.8639,-0.1831,-0.028,-38.1587,0.0843,32.7583,-1.06,-1.45
2020-01-30 11:40:00,32.74,32.78,32.71,32.72,153000.0,32.7512,32.7481,32.8724,-0.0915,-0.0268,-42.5684,0.0861,32.7633,-1.16,-1.36
2020-01-30 11:35:00,32.72,32.79,32.71,32.73,131100.0,32.7462,32.7581,32.8809,-0.2482,-0.0278,-33.9602,0.0869,32.7658,-1.1309,-1.4614
2020-01-30 11:30:00,32.74,32.76,32.71,32.72,110000.0,32.7433,32.7743,32.8892,-0.4276,-0.0267,-60.6869,0.0873,32.7706,-1.16,-1.45
2020-01-30 11:25:00,32.76,32.79,32.73,32.74,102600.0,32.7393,32.7784,32.8974,-0.4255,-0.027,-27.5186,0.0893,32.7739,-1.07,-1.4
2020-01-30 11:20:00,32.7806,32.8158,32.7558,32.7606,164611.0,32.7363,32.7664,32.9052,-0.6073,-0.029,1.4751,0.0908,32.7753,-0.98,-1.3794
2020-01-30 11:15:00,32.79,32.8,32.76,32.78,197000.0,32.7333,32.7543,32.9131,-0.6379,-0.0332,-5.1385,0.0924,32.7748,-0.86,-1.39
2020-01-30 11:10:00,32.8009,32.8818,32.7817,32.7909,222102.0,32.7273,32.7343,32.9212,-0.2406,-0.039,22.1678,0.0952,32.7731,-0.9091,-1.4591
2020-01-30 11:05:00,32.7605,32.8584,32.7583,32.8005,2653814.0,32.7242,32.7124,32.9295,-0.3634,-0.0469,1.7273,0.0949,32.7702,-1.0109,-1.3895
2020-01-30 11:00:00,32.7,32.78,32.7,32.76,209050.0,32.7322,32.7003,32.9392,-0.3687,-0.0523,-52.3505,0.0946,32.7713,-0.96,-1.48
2020-01-30 10:55:00,32.72,32.75,32.69,32.7,234300.0,32.7512,32.7063,32.9497,-0.5471,-0.0523,-86.1125,0.0954,32.7788,-0.92,-1.48
2020-01-30 10:50:00,32.69,32.75,32.67,32.73,2313400.0,32.7562,32.7124,32.9607,-0.2441,-0.0535,-93.7406,0.0973,32.7849,-0.9714,-1.52
2020-01-30 10:45:00,32.6913,32.7814,32.6813,32.7013,352288.0,32.7642,32.7204,32.973,-0.4243,-0.0512,-101.2674,0.0982,32.7949,-0.9787,-1.5087
2020-01-30 10:40:00,32.7,32.74,32.67,32.68,442800.0,32.7753,32.7361,32.9855,-0.0917,-0.0476,-135.9483,0.098,32.8058,-1.01,-1.5213
2020-01-30 10:35:00,32.73,32.79,32.7,32.7,250300.0,32.7933,32.7642,32.9988,0.3372,-0.0433,-114.6752,0.0995,32.817,-0.98,-1.38
2020-01-30 10:30:00,32.7506,32.7758,32.6757,32.7306,215906.0,32.8103,32.7962,33.0112,0.462,-0.0402,-110.6814,0.1,32.8261,-0.9394,-1.2294
2020-01-30 10:25:00,32.73,32.77,32.7,32.76,175800.0,32.8333,32.8001,33.025,0.2143,-0.0377,-81.3105,0.1,32.8341,-0.98,-1.21
2020-01-30 10:20:00,32.77,32.79,32.73,32.74,218500.0,32.8604,32.8081,33.0395,0.3061,-0.032,-60.563,0.1016,32.845,-0.93,-1.08
2020-01-30 10:15:00,32.8405,32.8784,32.7884,32.7905,3163979.0,32.8714,32.8144,33.0533,0.3683,-0.0282,0.3053,0.1037,32.8529,-0.8795,-0.9695
2020-01-30 10:10:00,32.89,32.91,32.83,32.83,127900.0,32.8753,32.8224,33.066,0.4581,-0.0302,33.7832,0.1045,32.8542,-0.82,-0.9212
2020-01-30 10:05:00,32.77,32.9,32.76,32.89,231500.0,32.8684,32.8244,33.0773,-0.3951,-0.0373,32.5971,0.1057,32.8505,-0.94,-1.07
2020-01-30 10:00:00,32.77,32.8,32.73,32.76,134773.0,32.8814,32.8666,33.0913,-0.2475,-0.0336,-31.8696,0.1039,32.859,-0.9,-1.08
2020-01-30 09:55:00,32.8014,32.8516,32.7615,32.7714,401768.0,32.8814,32.9127,33.1053,0.094,-0.0284,-12.1952,0.1057,32.8683,-0.9086,-1.05
2020-01-30 09:50:00,32.8806,32.9059,32.7958,32.8006,223365.0,32.8844,32.9284,33.119,0.3945,-0.0246,16.6614,0.1066,32.8754,-0.8394,-0.9901
2020-01-30 09:45:00,32.9,32.92,32.85,32.87,187600.0,32.8693,32.9283,33.1303,0.6704,-0.0274,53.2484,0.1064,32.8748,-0.8,-0.99
2020-01-30 09:40:00,32.9809,33.022,32.8718,32.9009,258164.0,32.8413,32.9125,33.1408,1.0135,-0.0325,98.2976,0.1083,32.8722,-0.7691,-0.8691
2020-01-30 09:35:00,33.0005,33.0886,32.9885,33.0005,496206.0,32.8032,32.8963,33.1496,-0.4209,-0.0469,182.0656,0.1061,32.8607,-0.7795,-0.8495
2020-01-30 09:30:00,32.88,33.03,32.87,33.0,373731.0,32.7692,32.8502,33.1584,-0.8145,-0.0665,120.5107,0.1064,32.846,-0.8912,-1.08
2020-01-30 09:25:00,32.88,32.92,32.87,32.88,238400.0,32.7482,32.8403,33.1694,-0.7246,-0.0783,53.3601,0.1036,32.8424,-0.87,-1.11
2020-01-30 09:20:00,32.821,32.9223,32.7921,32.871,190526.0,32.7322,32.8103,33.1804,-0.9626,-0.0922,23.3558,0.1064,32.8385,-0.909,-1.149
2020-01-30 09:15:00,32.9,32.92,32.8,32.81,183900.0,32.7241,32.7701,33.1917,-0.7541,-0.1027,5.0749,0.1051,32.8403,-0.82,-1.06
2020-01-30 09:10:00,32.77,32.92,32.76,32.92,316700.0,32.7241,32.7101,33.2019,-1.1761,-0.1225,7.8826,0.1043,32.834,-0.91,-1.21
