date,open,high,low,close,volume,sma10,sma5,bbands,roc,macd,cci,atr,ema20,mtm6,mtm12
2020-01-30 13:55:00,28.5,28.54,28.48,28.53,788400.0,28.5012,28.5302,28.4437,0.3479,0.0285,67.8905,0.0673,28.4665,-0.29,-0.8609
2020-01-30 13:50:00,28.4912,28.5374,28.4874,28.5012,300347.0,28.4953,28.5363,28.4404,0.1448,0.0296,67.2675,0.0677,28.463,-0.2688,-0.8788
2020-01-30 13:45:00,28.56,28.57,28.5,28.51,125600.0,28.4892,28.5381,28.4374,0.3161,0.0313,93.2673,0.0687,28.46,-0.211,-0.82
2020-01-30 13:40:00,28.54,28.57,28.52,28.55,252900.0,28.4702,28.5181,28.4334,0.3869,0.0261,124.2161,0.0686,28.4495,-0.27,-0.85
2020-01-30 13:35:00,28.56,28.57,28.53,28.55,387700.0,28.4442,28.4941,28.4289,0.4573,0.0211,142.6798,0.0696,28.44,-0.27,-0.81
2020-01-30 13:30:00,28.5305,28.6248,28.5247,28.5705,419238.0,28.4172,28.4721,28.4247,0.3182,0.0124,197.9889,0.0711,28.4273,-0.2595,-0.8395
2020-01-30 13:25:00,28.5,28.54,28.49,28.51,462100.0,28.3961,28.4542,28.42,0.211,0.004,149.7994,0.0688,28.4165,-0.23,-0.91
2020-01-30 13:20:00,28.46,28.52,28.45,28.5,600900.0,28.3831,28.4402,28.4164,0.1055,-0.0035,131.1086,0.0698,28.4077,-0.22,-0.91
2020-01-30 13:15:00,28.42,28.54,28.42,28.47,787300.0,28.3741,28.4222,28.412,0.0352,-0.0091,118.5949,0.0698,28.4021,-0.22,-0.96
2020-01-30 13:10:00,28.45,28.49,28.41,28.43,356400.0,28.3741,28.3942,28.4092,0.1761,-0.0119,67.9191,0.0671,28.4003,-0.19,-0.9208
2020-01-30 13:05:00,28.4412,28.4874,28.4273,28.4412,212010.0,28.3691,28.3622,28.4065,0.1803,-0.0185,88.5446,0.0665,28.395,-0.2188,-0.9788
2020-01-30 13:00:00,28.43,28.47,28.41,28.43,582968.0,28.3651,28.338,28.4039,0.1035,-0.0257,67.214,0.0668,28.3902,-0.15,-0.99
2020-01-30 12:55:00,28.37,28.43,28.36,28.43,839700.0,28.3671,28.326,28.412,-0.1088,-0.0333,13.5375,0.0672,28.386,-0.2,-0.96
2020-01-30 12:50:00,28.28,28.4,28.28,28.38,327700.0,28.3771,28.326,28.4217,-0.2821,-0.0365,-92.1683,0.067,28.3877,-0.27,-1.01
2020-01-30 12:45:00,28.29,28.31,28.28,28.28,714269.0,28.3921,28.354,28.4322,-0.2468,-0.0309,-236.2292,0.0642,28.399,-0.3206,-1.01
2020-01-30 12:40:00,28.32,28.36,28.28,28.28,362600.0,28.4061,28.376,28.4429,-0.141,-0.0242,-246.1358,0.066,28.4105,-0.35,-0.93
2020-01-30 12:35:00,28.37,28.4,28.31,28.33,441800.0,28.4181,28.3922,28.4527,-0.2461,-0.0185,-164.8765,0.0653,28.42,-0.33,-0.89
2020-01-30 12:30:00,28.37,28.4,28.37,28.38,153800.0,28.4251,28.4082,28.4615,-0.3197,-0.0159,-77.5495,0.064,28.4253,-0.3709,-0.91
2020-01-30 12:25:00,28.42,28.42,28.37,28.38,227600.0,28.4311,28.4282,28.4695,-0.2107,-0.0125,-66.7101,0.0658,28.4311,-0.33,-0.8212
2020-01-30 12:20:00,28.4,28.43,28.4,28.41,129100.0,28.4301,28.4302,28.4764,-0.1796,-0.013,-9.1365,0.0666,28.4322,-0.31,-0.82
2020-01-30 12:15:00,28.4012,28.4473,28.3873,28.4112,174478.0,28.4301,28.4362,28.4839,-0.3816,-0.0114,-11.0117,0.0685,28.4356,-0.2588,-0.8688
2020-01-30 12:10:00,28.45,28.45,28.38,28.4,276100.0,28.429,28.444,28.491,-0.2825,-0.0093,-29.218,0.069,28.4393,-0.15,-0.85
2020-01-30 12:05:00,28.47,28.49,28.44,28.44,153300.0,28.4241,28.442,28.4975,-0.1753,-0.0115,57.3053,0.0689,28.4381,-0.19,-0.8
2020-01-30 12:00:00,28.43,28.48,28.42,28.48,232320.0,28.4172,28.434,28.5032,-0.5944,-0.0161,50.5861,0.0699,28.4348,-0.2011,-0.8
2020-01-30 11:55:00,28.43,28.45,28.41,28.43,176897.0,28.4102,28.43,28.5097,-0.5961,-0.0177,-10.1907,0.0704,28.4353,-0.27,-0.79
2020-01-30 11:50:00,28.44,28.44,28.42,28.43,301100.0,28.4032,28.424,28.5159,-0.7676,-0.0195,-20.3907,0.072,28.4358,-0.31,-0.7812
2020-01-30 11:45:00,28.44,28.45,28.41,28.43,298500.0,28.3952,28.414,28.5226,-0.1755,-0.0226,-28.5315,0.0748,28.4354,-0.3108,-0.79
2020-01-30 11:40:00,28.43,28.46,28.42,28.44,130700.0,28.3952,28.4061,28.5289,-0.1756,-0.0261,-24.2356,0.0766,28.4349,-0.25,-0.81
2020-01-30 11:35:00,28.41,28.45,28.4,28.43,148100.0,28.3983,28.4003,28.5334,-0.3508,-0.0293,-39.1348,0.0785,28.4354,-0.16,-0.84
2020-01-30 11:30:00,28.4,28.44,28.38,28.42,318100.0,28.4053,28.3903,28.5381,-0.5971,-0.0308,-55.8964,0.08,28.4381,-0.12,-0.8208
2020-01-30 11:25:00,28.39,28.4,28.38,28.4,233600.0,28.4104,28.3823,28.5431,-0.6995,-0.0314,-81.1772,0.0811,28.4421,-0.1209,-0.9
2020-01-30 11:20:00,28.4006,28.4224,28.3823,28.4006,235014.0,28.4224,28.3763,28.5483,-0.5957,-0.0305,-80.3018,0.0843,28.4476,-0.0294,-0.9094
2020-01-30 11:15:00,28.4009,28.4276,28.3776,28.3909,199172.0,28.4354,28.3842,28.5542,-0.3127,-0.0301,-91.2827,0.0866,28.4526,0.2309,-0.8591
2020-01-30 11:10:00,28.36,28.41,28.35,28.4,212000.0,28.4473,28.3962,28.5604,0.0353,-0.0292,-114.2316,0.0885,28.458,0.15,-0.9
2020-01-30 11:05:00,28.36,28.41,28.35,28.36,519800.0,28.4713,28.4202,28.5671,0.0706,-0.0234,-137.9426,0.09,28.4683,0.14,-0.89
2020-01-30 11:00:00,28.36,28.41,28.26,28.37,961152.0,28.4953,28.4384,28.5739,0.1381,-0.0157,-161.1225,0.0916,28.4797,0.17,-0.93
2020-01-30 10:55:00,28.44,28.44,28.35,28.37,503900.0,28.5253,28.4684,28.5812,0.349,-0.0056,-120.3914,0.0885,28.4923,0.26,-0.78
2020-01-30 10:50:00,28.461,28.4964,28.4364,28.441,371122.0,28.5303,28.4865,28.5871,0.427,-0.0009,-43.4054,0.0884,28.4978,0.281,-0.7112
2020-01-30 10:45:00,28.48,28.49,28.44,28.46,142800.0,28.5322,28.4983,28.5924,0.3877,0.0031,-29.2364,0.0899,28.5017,0.32,-0.6306
2020-01-30 10:40:00,28.4511,28.5067,28.4366,28.4811,299975.0,28.5352,28.5223,28.5969,0.4275,0.0062,-13.5715,0.092,28.504,0.3011,-0.4989
2020-01-30 10:35:00,28.51,28.54,28.45,28.45,248800.0,28.5472,28.5522,28.6019,0.7388,0.0131,-4.1433,0.0931,28.5095,0.37,-0.43
2020-01-30 10:30:00,28.5306,28.5625,28.4824,28.5106,261580.0,28.5552,28.5822,28.6069,0.7792,0.0156,28.1854,0.0933,28.5095,0.3906,-0.4103
2020-01-30 10:25:00,28.52,28.55,28.5,28.54,212700.0,28.5592,28.5741,28.6125,0.7062,0.0165,40.0737,0.094,28.5073,0.4,-0.36
2020-01-30 10:20:00,28.6,28.62,28.51,28.51,394500.0,28.5562,28.5661,28.6177,1.1673,0.0184,55.3082,0.0963,28.5059,0.46,-0.2812
2020-01-30 10:15:00,28.6005,28.6648,28.5947,28.6105,240875.0,28.5312,28.5481,28.6214,1.0261,0.0125,107.4905,0.0956,28.496,0.4505,-0.3495
2020-01-30 10:10:00,28.66,28.71,28.61,28.62,416944.0,28.5051,28.5421,28.6252,1.4513,0.0048,135.4987,0.097,28.485,0.49,-0.31
2020-01-30 10:05:00,28.49,28.66,28.47,28.66,417400.0,28.4712,28.5281,28.6287,0.7426,-0.0112,124.2497,0.0968,28.4666,0.33,-0.5506
2020-01-30 10:00:00,28.48,28.5,28.44,28.5,135174.0,28.4563,28.5443,28.6342,0.9929,-0.0142,61.1474,0.0919,28.4641,0.35,-0.5
2020-01-30 09:55:00,28.51,28.55,28.48,28.49,170600.0,28.4423,28.5463,28.6394,0.9204,-0.0168,90.1436,0.0936,28.4625,0.35,-0.46
2020-01-30 09:50:00,28.5706,28.5925,28.4924,28.5106,241553.0,28.4283,28.5143,28.6436,0.9876,-0.0229,126.3477,0.0948,28.4575,0.3806,-0.3894
2020-01-30 09:45:00,28.59,28.66,28.55,28.57,399400.0,28.4043,28.4682,28.6471,1.0937,-0.0366,211.7691,0.0945,28.4456,0.42,-0.36
2020-01-30 09:40:00,28.5708,28.6277,28.4976,28.5808,380577.0,28.3754,28.4143,28.6501,-1.2075,-0.0554,256.8083,0.0937,28.4304,0.4508,-0.3692
2020-01-30 09:35:00,28.49,28.61,28.48,28.58,575900.0,28.3493,28.3684,28.6532,-1.5889,-0.0767,145.835,0.0918,28.4156,0.39,-0.45
2020-01-30 09:30:00,28.35,28.53,28.34,28.49,872850.0,28.3323,28.3384,28.6589,-1.937,-0.0946,39.6584,0.0898,28.4077,0.23,-0.59
2020-01-30 09:25:00,28.34,28.37,28.32,28.36,223500.0,28.3243,28.3424,28.6667,-2.0394,-0.1017,-23.3153,0.0845,28.4138,0.29,-0.6
2020-01-30 09:20:00,28.3209,28.3778,28.3178,28.3409,127220.0,28.3213,28.3404,28.6746,-2.0377,-0.1083,-29.6227,0.0863,28.4216,0.2309,-0.6391
2020-01-30 09:15:00,28.3411,28.3666,28.2965,28.3311,310678.0,28.3142,28.3364,28.6827,-1.9339,-0.1133,-37.4741,0.0877,28.4322,0.2611,-0.6289
2020-01-30 09:10:00,28.34,28.37,28.31,28.32,309700.0,28.3081,28.3302,28.6904,-1.7678,-0.12,-40.4388,0.0886,28.4418,0.25,-0.62
2020-01-30 09:05:00,28.37,28.39,28.34,28.35,267600.0,28.2941,28.3262,28.6982,-1.5956,-0.1267,-37.7884,0.0901,28.4525,0.22,-0.6
2020-01-30 09:00:00,28.33,28.39,28.31,28.37,294070.0,28.2821,28.3062,28.7059,-1.8055,-0.1364,-42.3115,0.0923,28.4612,0.17,-0.6905
2020-01-30 08:55:00,28.3009,28.3576,28.2875,28.3209,167718.0,28.2782,28.3022,28.7142,-1.8352,-0.1428,-54.209,0.0929,28.475,0.1909,-0.7091
2020-01-30 08:50:00,28.31,28.35,28.3,28.32,185800.0,28.2762,28.292,28.7244,-1.8394,-0.1459,-59.3712,0.0941,28.4933,0.19,-0.631
2020-01-30 08:45:00,28.32,28.35,28.29,28.31,137400.0,28.3372,28.286,28.7355,-1.7008,-0.1487,-67.3369,0.0964,28.5126,0.179,-0.7709
2020-01-30 08:40:00,28.27,28.35,28.27,28.31,392300.0,28.4002,28.262,28.7462,-1.9084,-0.1511,-77.0295,0.0983,28.5329,0.19,-1.18
2020-01-30 08:35:00,28.31,28.37,28.27,28.28,255700.0,28.4642,28.258,28.7579,-1.7048,-0.1469,-88.4338,0.0993,28.5605,0.23,-1.14
2020-01-30 08:30:00,28.25,28.33,28.24,28.33,435600.0,28.5262,28.2542,28.7681,-2.0498,-0.1435,-104.2701,0.0993,28.5869,0.12,-1.17
2020-01-30 08:25:00,28.28,28.3,28.24,28.24,336000.0,28.5922,28.2604,28.7796,-1.8737,-0.1309,-135.8979,0.0998,28.6224,0.1,-1.17
2020-01-30 08:20:00,28.2,28.33,28.18,28.28,619000.0,28.6542,28.3884,28.7902,-1.7422,-0.1161,-169.2968,0.1018,28.6584,-0.01,-1.25
2020-01-30 08:15:00,28.25,28.28,28.18,28.2,1070700.0,28.7192,28.5384,28.8019,-1.5336,-0.0872,-245.7588,0.0993,28.7067,0.07,-1.21
