open,high,low,close,volume,sma10,sma5,bbands,roc,macd,cci,atr,ema20,mtm6,mtm12
28.44,28.44,28.42,28.43,220300.0,28.4032,28.424,28.5157,-0.7676,-0.0195,-24.3434,0.0721,28.4358,-0.31,-0.7812
28.44,28.45,28.41,28.43,298500.0,28.3952,28.414,28.5224,-0.1755,-0.0226,-28.5315,0.0748,28.4354,-0.3108,-0.79
28.43,28.46,28.42,28.44,130700.0,28.3942,28.4061,28.5287,-0.1756,-0.0261,-24.2356,0.0766,28.4349,-0.25,-0.81
28.41,28.45,28.4,28.43,148100.0,28.3971,28.4003,28.5332,-0.3508,-0.0293,-39.1348,0.0786,28.4354,-0.16,-0.84
28.4,28.44,28.38,28.42,318100.0,28.4041,28.3903,28.5379,-0.5971,-0.0308,-55.8964,0.0801,28.4381,-0.12,-0.8208
28.39,28.4,28.38,28.4,233600.0,28.4093,28.3823,28.5429,-0.6995,-0.0313,-81.1772,0.0811,28.4421,-0.1209,-0.9
28.4006,28.4224,28.3923,28.4006,235014.0,28.4213,28.3763,28.5481,-0.5957,-0.0305,-80.3018,0.0843,28.4476,-0.0294,-0.9094
28.4009,28.4276,28.3776,28.3909,199172.0,28.4343,28.3822,28.5541,-0.3127,-0.0301,-91.2827,0.0866,28.4526,0.2309,-0.8591
28.36,28.41,28.35,28.4,212000.0,28.4462,28.394,28.5602,0.0353,-0.0292,-114.2316,0.0886,28.458,0.15,-0.9
28.36,28.41,28.35,28.36,519800.0,28.4702,28.418,28.5669,0.0706,-0.0234,-137.9426,0.0901,28.4683,0.14,-0.89
28.36,28.41,28.26,28.37,961152.0,28.4942,28.4362,28.5737,0.1381,-0.0157,-161.1225,0.0916,28.4797,0.17,-0.93
28.43,28.43,28.35,28.37,576800.0,28.5242,28.4662,28.5811,0.3137,-0.0056,-120.3914,0.0886,28.4923,0.26,-0.77
28.46,28.47,28.41,28.42,283400.0,28.5302,28.4863,28.5871,0.4234,-0.0009,-43.4054,0.0884,28.4978,0.281,-0.7102
28.48,28.49,28.44,28.46,142800.0,28.5322,28.4983,28.5924,0.3877,0.0031,-29.2364,0.0899,28.5017,0.32,-0.6306
28.4511,28.5067,28.4366,28.4811,299975.0,28.5352,28.5223,28.5969,0.4275,0.0062,-13.5715,0.092,28.504,0.3011,-0.4989
